"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
1,"Governor (Vote For 1)"," - PHILIP MURPHY","",42349,55.13,206681,79138,229,229,"0","0"
2,"Governor (Vote For 1)"," - KIM GUADAGNO","",32448,42.24,206681,79138,229,229,"0","0"
3,"Governor (Vote For 1)"," - VINCENT ROSS","",593,0.77,206681,79138,229,229,"0","0"
4,"Governor (Vote For 1)"," - SETH KAPER-DALE","",259,0.34,206681,79138,229,229,"0","0"
5,"Governor (Vote For 1)"," - GINA GENOVESE","",449,0.58,206681,79138,229,229,"0","0"
6,"Governor (Vote For 1)"," - MATTHEW RICCARDI","",174,0.23,206681,79138,229,229,"0","0"
7,"Governor (Vote For 1)"," - PETER J. ROHRMAN","",423,0.55,206681,79138,229,229,"0","0"
8,"Governor (Vote For 1)","Write-In","",125,0.16,206681,79138,229,229,"0","0"
9,"State Senate 3rd Legislative District (Vote For 1)"," - STEVE SWEENEY","",19779,60.80,84858,34002,97,97,"0","0"
10,"State Senate 3rd Legislative District (Vote For 1)"," - FRAN GRENIER","",12639,38.85,84858,34002,97,97,"0","0"
11,"State Senate 3rd Legislative District (Vote For 1)","Write-In","",112,0.34,84858,34002,97,97,"0","0"
12,"State Senate 4th Legislative District (Vote For 1)"," - FRED H. MADDEN","",16503,97.67,68301,24592,72,72,"0","0"
13,"State Senate 4th Legislative District (Vote For 1)","Write-In","",394,2.33,68301,24592,72,72,"0","0"
14,"State Senate 5th Legislative District (Vote For 1)"," - NILSA CRUZ-PEREZ","",10877,57.03,53522,20544,60,60,"0","0"
15,"State Senate 5th Legislative District (Vote For 1)"," - KEITH WALKER","",8027,42.09,53522,20544,60,60,"0","0"
16,"State Senate 5th Legislative District (Vote For 1)"," - MOHAMMAD KABIR","",140,0.73,53522,20544,60,60,"0","0"
17,"State Senate 5th Legislative District (Vote For 1)","Write-In","",28,0.15,53522,20544,60,60,"0","0"
18,"General Assembly 3rd Legislative District (Vote For 2)"," - JOHN J. BURZICHELLI","",19686,31.13,84858,34002,97,97,"0","0"
19,"General Assembly 3rd Legislative District (Vote For 2)"," - ADAM TALIAFERRO","",19849,31.39,84858,34002,97,97,"0","0"
20,"General Assembly 3rd Legislative District (Vote For 2)"," - PHILIP J. DONOHUE","",12021,19.01,84858,34002,97,97,"0","0"
21,"General Assembly 3rd Legislative District (Vote For 2)"," - LINWOOD H. DONELSON III","",11178,17.68,84858,34002,97,97,"0","0"
22,"General Assembly 3rd Legislative District (Vote For 2)"," - EDWARD R. DURR","",487,0.77,84858,34002,97,97,"0","0"
23,"General Assembly 3rd Legislative District (Vote For 2)","Write-In","",19,0.03,84858,34002,97,97,"0","0"
24,"General Assembly 4th Legislative District (Vote For 2)"," - PAUL D. MORIARTY","",13264,29.25,68301,24592,72,72,"0","0"
25,"General Assembly 4th Legislative District (Vote For 2)"," - GABRIELA M. MOSQUERA","",13055,28.79,68301,24592,72,72,"0","0"
26,"General Assembly 4th Legislative District (Vote For 2)"," - PATRICIA JEFFERSON KLINE","",9341,20.60,68301,24592,72,72,"0","0"
27,"General Assembly 4th Legislative District (Vote For 2)"," - EDUARDO J. MALDONADO","",9083,20.03,68301,24592,72,72,"0","0"
28,"General Assembly 4th Legislative District (Vote For 2)"," - WILLIAM MCCAULEY JR.","",572,1.26,68301,24592,72,72,"0","0"
29,"General Assembly 4th Legislative District (Vote For 2)","Write-In","",34,0.07,68301,24592,72,72,"0","0"
30,"General Assembly 5th Legislative District (Vote For 2)"," - PATRICIA EGAN JONES","",11066,29.72,53522,20544,60,60,"0","0"
31,"General Assembly 5th Legislative District (Vote For 2)"," - ARTHUR BARCLAY","",10571,28.39,53522,20544,60,60,"0","0"
32,"General Assembly 5th Legislative District (Vote For 2)"," - KEVIN EHRET","",7645,20.54,53522,20544,60,60,"0","0"
33,"General Assembly 5th Legislative District (Vote For 2)"," - TERESA L. GORDON","",7925,21.29,53522,20544,60,60,"0","0"
34,"General Assembly 5th Legislative District (Vote For 2)","Write-In","",22,0.06,53522,20544,60,60,"0","0"
35,"County Clerk (Vote For 1)"," - JAMES N. HOGAN","",47491,64.57,206681,79138,229,229,"0","0"
36,"County Clerk (Vote For 1)"," - DIANE KING","",26029,35.39,206681,79138,229,229,"0","0"
37,"County Clerk (Vote For 1)","Write-In","",29,0.04,206681,79138,229,229,"0","0"
38,"Surrogate (Vote For 1)"," - HELENE REED","",44504,61.84,206681,79138,229,229,"0","0"
39,"Surrogate (Vote For 1)"," - WILLIAM M. GILSON","",27435,38.12,206681,79138,229,229,"0","0"
40,"Surrogate (Vote For 1)","Write-In","",26,0.04,206681,79138,229,229,"0","0"
41,"Freeholder (Vote For 3)"," - HEATHER SIMMONS","",44432,20.64,206681,79138,229,229,"0","0"
42,"Freeholder (Vote For 3)"," - LYMAN BARNES","",41693,19.37,206681,79138,229,229,"0","0"
43,"Freeholder (Vote For 3)"," - JIM JEFFERSON","",42175,19.59,206681,79138,229,229,"0","0"
44,"Freeholder (Vote For 3)"," - ROSE YERKA","",28509,13.24,206681,79138,229,229,"0","0"
45,"Freeholder (Vote For 3)"," - LOUISE PELOSI","",29573,13.74,206681,79138,229,229,"0","0"
46,"Freeholder (Vote For 3)"," - MARY BEHM","",28839,13.39,206681,79138,229,229,"0","0"
47,"Freeholder (Vote For 3)","Write-In","",77,0.04,206681,79138,229,229,"0","0"
48,"Clayton Council (Vote For 2)"," - CHARLES SIMON","",1611,49.91,5680,2172,6,6,"0","0"
49,"Clayton Council (Vote For 2)"," - DARLENE VONDRAN","",1581,48.98,5680,2172,6,6,"0","0"
50,"Clayton Council (Vote For 2)","Write-In","",36,1.12,5680,2172,6,6,"0","0"
51,"Clayton Council-Unexpired Term (Vote For 1)"," - FRANK ROLLO","",1597,98.82,5680,2172,6,6,"0","0"
52,"Clayton Council-Unexpired Term (Vote For 1)","Write-In","",19,1.18,5680,2172,6,6,"0","0"
53,"Deptford Council (Vote For 4)"," - PHIL SCHOCKLIN","",5312,24.95,21689,7618,22,22,"0","0"
54,"Deptford Council (Vote For 4)"," - WAYNE LOVE","",5300,24.89,21689,7618,22,22,"0","0"
55,"Deptford Council (Vote For 4)"," - BILL LAMB","",5213,24.49,21689,7618,22,22,"0","0"
56,"Deptford Council (Vote For 4)"," - KEN BARNSHAW","",5238,24.60,21689,7618,22,22,"0","0"
57,"Deptford Council (Vote For 4)","Write-In","",227,1.07,21689,7618,22,22,"0","0"
58,"East Greenwich Township Committee (Vote For 2)"," - JEFF TAYLOR","",1363,21.94,7863,3237,7,7,"0","0"
59,"East Greenwich Township Committee (Vote For 2)"," - CHRIS FAY","",1368,22.02,7863,3237,7,7,"0","0"
60,"East Greenwich Township Committee (Vote For 2)"," - RICHARD P. SCHOBER","",1766,28.43,7863,3237,7,7,"0","0"
61,"East Greenwich Township Committee (Vote For 2)"," - ROBERT TICE","",1712,27.56,7863,3237,7,7,"0","0"
62,"East Greenwich Township Committee (Vote For 2)","Write-In","",3,0.05,7863,3237,7,7,"0","0"
63,"Elk Township Committee (Vote For 2)"," - JAMES RAMBO","",697,27.26,3182,1366,4,4,"0","0"
64,"Elk Township Committee (Vote For 2)"," - CHRISTINE YENNER","",646,25.26,3182,1366,4,4,"0","0"
65,"Elk Township Committee (Vote For 2)"," - CAROLYN KING SAMMONS","",648,25.34,3182,1366,4,4,"0","0"
66,"Elk Township Committee (Vote For 2)"," - GEORGE REISTLE","",563,22.02,3182,1366,4,4,"0","0"
67,"Elk Township Committee (Vote For 2)","Write-In","",3,0.12,3182,1366,4,4,"0","0"
68,"Franklin Township Committee (Vote For 2)"," - THOMAS TOBIN","",2115,24.09,11737,4694,11,11,"0","0"
69,"Franklin Township Committee (Vote For 2)"," - GREGORY COFFIN","",2145,24.43,11737,4694,11,11,"0","0"
70,"Franklin Township Committee (Vote For 2)"," - LEAH VASSALLO","",2300,26.20,11737,4694,11,11,"0","0"
71,"Franklin Township Committee (Vote For 2)"," - HEATHER FLAIM","",2215,25.23,11737,4694,11,11,"0","0"
72,"Franklin Township Committee (Vote For 2)","Write-In","",5,0.06,11737,4694,11,11,"0","0"
73,"Franklin Twp. Co. Unexpired Term (Vote For 1)"," - CHARLES F. PLUTA","",2174,50.38,11737,4694,11,11,"0","0"
74,"Franklin Twp. Co. Unexpired Term (Vote For 1)"," - ERIC BERNARD","",2136,49.50,11737,4694,11,11,"0","0"
75,"Franklin Twp. Co. Unexpired Term (Vote For 1)","Write-In","",5,0.12,11737,4694,11,11,"0","0"
76,"Glassboro Council (Vote For 2)"," - JOSEPH M. D'ALESSANDRO","",3064,49.61,11200,4091,13,13,"0","0"
77,"Glassboro Council (Vote For 2)"," - HECTOR CABEZAS","",3036,49.16,11200,4091,13,13,"0","0"
78,"Glassboro Council (Vote For 2)","Write-In","",76,1.23,11200,4091,13,13,"0","0"
79,"Greenwich Mayor (Vote For 1)"," - KENNETH RIDINGER","",862,43.98,3661,1992,6,6,"0","0"
80,"Greenwich Mayor (Vote For 1)"," - GEORGE W. SHIVERY, JR.","",1096,55.92,3661,1992,6,6,"0","0"
81,"Greenwich Mayor (Vote For 1)","Write-In","",2,0.10,3661,1992,6,6,"0","0"
82,"Harrison Township Committee (Vote For 1)"," - JACQUELINE M. VIGILANTE","",1734,45.99,9423,4096,9,9,"0","0"
83,"Harrison Township Committee (Vote For 1)"," - JULIE DELAURENTIS","",2028,53.79,9423,4096,9,9,"0","0"
84,"Harrison Township Committee (Vote For 1)","Write-In","",8,0.21,9423,4096,9,9,"0","0"
85,"Harrison Twp Comm. Unexpired (Vote For 1)"," - LISA ANNE ROTTE","",1715,45.17,9423,4096,9,9,"0","0"
86,"Harrison Twp Comm. Unexpired (Vote For 1)"," - LOUIS MANZO","",2075,54.65,9423,4096,9,9,"0","0"
87,"Harrison Twp Comm. Unexpired (Vote For 1)","Write-In","",7,0.18,9423,4096,9,9,"0","0"
88,"Logan Council (Vote For 1)"," - CHRISTOPHER MORRIS","",1221,97.68,4305,1658,4,4,"0","0"
89,"Logan Council (Vote For 1)","Write-In","",29,2.32,4305,1658,4,4,"0","0"
90,"Mantua Township Committee (Vote For 1)"," - JOHN C. LEGGE, JR.","",2704,64.40,11298,4478,12,12,"0","0"
91,"Mantua Township Committee (Vote For 1)"," - KAREN M. VICK","",1492,35.53,11298,4478,12,12,"0","0"
92,"Mantua Township Committee (Vote For 1)","Write-In","",3,0.07,11298,4478,12,12,"0","0"
93,"Mantua Twp. Comm. Unexpired (Vote For 1)"," - SHAWN K. LAYTON","",3252,98.67,11298,4478,12,12,"0","0"
94,"Mantua Twp. Comm. Unexpired (Vote For 1)","Write-In","",44,1.33,11298,4478,12,12,"0","0"
95,"National Park Council (Vote For 2)"," - LAWRENCE J. PRELLE, SR.","",558,48.82,2017,742,4,4,"0","0"
96,"National Park Council (Vote For 2)"," - JOSEPH N. SMASHEY","",576,50.39,2017,742,4,4,"0","0"
97,"National Park Council (Vote For 2)","Write-In","",9,0.79,2017,742,4,4,"0","0"
98,"Newfield Council (Vote For 2)"," - RACHEL ZACCARIA","",322,51.69,1177,470,1,1,"0","0"
99,"Newfield Council (Vote For 2)"," - MICHAEL CARROW","",280,44.94,1177,470,1,1,"0","0"
100,"Newfield Council (Vote For 2)","Write-In","",21,3.37,1177,470,1,1,"0","0"
101,"Paulsboro Council (Vote For 2)"," - JOE L. KIDD","",1013,49.03,3605,1281,5,5,"0","0"
102,"Paulsboro Council (Vote For 2)"," - THEODORE D. HOLLOWAY, II","",1029,49.81,3605,1281,5,5,"0","0"
103,"Paulsboro Council (Vote For 2)","Write-In","",24,1.16,3605,1281,5,5,"0","0"
104,"Pitman Council (Vote For 2)"," - JIM PIERPONT","",1839,29.97,6509,3155,7,7,"0","0"
105,"Pitman Council (Vote For 2)"," - MATT WENG","",1669,27.20,6509,3155,7,7,"0","0"
106,"Pitman Council (Vote For 2)"," - ALLISON DEGEORGE","",1271,20.71,6509,3155,7,7,"0","0"
107,"Pitman Council (Vote For 2)"," - JENNIFER STECH REBMAN","",1348,21.97,6509,3155,7,7,"0","0"
108,"Pitman Council (Vote For 2)","Write-In","",9,0.15,6509,3155,7,7,"0","0"
109,"South Harrison Township Committee (Vote For 2)"," - ROBERT J. DIAZ","",666,49.52,2404,953,3,3,"0","0"
110,"South Harrison Township Committee (Vote For 2)"," - ROBERT SCHENK","",663,49.29,2404,953,3,3,"0","0"
111,"South Harrison Township Committee (Vote For 2)","Write-In","",16,1.19,2404,953,3,3,"0","0"
112,"Swedesboro Council (Vote For 2)"," - DAVID FLAHERTY","",379,52.79,1627,540,2,2,"0","0"
113,"Swedesboro Council (Vote For 2)"," - JO ANNA GAHRS","",326,45.40,1627,540,2,2,"0","0"
114,"Swedesboro Council (Vote For 2)","Write-In","",13,1.81,1627,540,2,2,"0","0"
115,"Wenonah Council (Vote For 2)"," - JONATHAN BARBATO","",516,27.55,1852,974,3,3,"0","0"
116,"Wenonah Council (Vote For 2)"," - ANTHONY J. FINI","",495,26.43,1852,974,3,3,"0","0"
117,"Wenonah Council (Vote For 2)"," - CARL D. HAUSMAN","",459,24.51,1852,974,3,3,"0","0"
118,"Wenonah Council (Vote For 2)"," - PAUL J. LADER","",403,21.52,1852,974,3,3,"0","0"
119,"Wenonah Council (Vote For 2)","Write-In","",0,0.00,1852,974,3,3,"0","0"
120,"West Deptford Township Committee (Vote For 2)"," - JAMES MEHAFFEY","",4787,49.43,15926,6594,19,19,"0","0"
121,"West Deptford Township Committee (Vote For 2)"," - ADAM REID","",4772,49.28,15926,6594,19,19,"0","0"
122,"West Deptford Township Committee (Vote For 2)","Write-In","",125,1.29,15926,6594,19,19,"0","0"
123,"Westville Council (Vote For 2)"," - CHARLES D. MURTAUGH","",612,48.46,2724,871,3,3,"0","0"
124,"Westville Council (Vote For 2)"," - FRITZ H. SIMS, JR.","",620,49.09,2724,871,3,3,"0","0"
125,"Westville Council (Vote For 2)","Write-In","",31,2.45,2724,871,3,3,"0","0"
126,"Woodbury Council  Ward 1 (Vote For 1)"," - DONNA S. MILLER","",371,66.73,1847,592,3,3,"0","0"
127,"Woodbury Council  Ward 1 (Vote For 1)"," - MARGARET E. MATTERN","",183,32.91,1847,592,3,3,"0","0"
128,"Woodbury Council  Ward 1 (Vote For 1)","Write-In","",2,0.36,1847,592,3,3,"0","0"
129,"Woodbury Council  Ward 2 (Vote For 1)"," - THEODORE W. JOHNSON, JR.","",523,71.64,2256,784,4,4,"0","0"
130,"Woodbury Council  Ward 2 (Vote For 1)"," - JAMES T. GRADWELL","",205,28.08,2256,784,4,4,"0","0"
131,"Woodbury Council  Ward 2 (Vote For 1)","Write-In","",2,0.27,2256,784,4,4,"0","0"
132,"Woodbury Council Unexpired Ward 2 (Vote For 1)"," - KARLENE O'CONNOR","",582,98.98,2256,784,4,4,"0","0"
133,"Woodbury Council Unexpired Ward 2 (Vote For 1)","Write-In","",6,1.02,2256,784,4,4,"0","0"
134,"Woodbury Council  Ward 3 (Vote For 1)"," - KENNETH J. MCILVAINE","",579,52.59,2433,1131,4,4,"0","0"
135,"Woodbury Council  Ward 3 (Vote For 1)"," - CYNTHIA C. NORTON","",516,46.87,2433,1131,4,4,"0","0"
136,"Woodbury Council  Ward 3 (Vote For 1)","Write-In","",6,0.54,2433,1131,4,4,"0","0"
137,"Woodbury Heights Council (Vote For 2)"," - RICHARD J. GAMBALE, SR.","",627,32.84,2258,986,4,4,"0","0"
138,"Woodbury Heights Council (Vote For 2)"," - ESHIA JACOB","",605,31.69,2258,986,4,4,"0","0"
139,"Woodbury Heights Council (Vote For 2)"," - ROBERT W. SEIBERT, SR.","",356,18.65,2258,986,4,4,"0","0"
140,"Woodbury Heights Council (Vote For 2)"," - GARY P. LOGAN","",318,16.66,2258,986,4,4,"0","0"
141,"Woodbury Heights Council (Vote For 2)","Write-In","",3,0.16,2258,986,4,4,"0","0"
142,"Woolwich Township Committee (Vote For 2)"," - GINA MARIE SANTORE","",1705,27.52,8216,3226,8,8,"0","0"
143,"Woolwich Township Committee (Vote For 2)"," - VERNON R. MARINO","",1719,27.75,8216,3226,8,8,"0","0"
144,"Woolwich Township Committee (Vote For 2)"," - ALAN SCHWAGER","",1380,22.28,8216,3226,8,8,"0","0"
145,"Woolwich Township Committee (Vote For 2)"," - FRANCESCO RIZZI","",1389,22.42,8216,3226,8,8,"0","0"
