Race,Candidate,Vote Type,Locality,Votes
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 9,145
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 10,228
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 10,228
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 11,158
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 11,158
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 12,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 12,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 13,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 13,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 14,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 14,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 15,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 15,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 16,114
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 16,114
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 17,144
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 17,144
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 18,174
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 18,174
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 19,210
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 19,210
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 20,162
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 20,162
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 21,180
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 21,180
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 22,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 22,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 23,104
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 23,104
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 24,95
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 24,95
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 25,172
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 25,172
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 26,184
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 26,184
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 1,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 1,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 2,427
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 2,427
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 3,395
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 3,395
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 4,333
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 4,333
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 5,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 5,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 6,326
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 6,326
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 7,337
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 7,337
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 8,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 8,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 9,214
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 9,214
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 10,250
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 10,250
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 11,472
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 11,472
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 12,291
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 12,291
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 13,263
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 13,263
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 14,202
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 14,202
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 15,330
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 15,330
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 16,308
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 16,308
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 17,282
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 17,282
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 19,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 19,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 20,274
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 20,274
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 21,324
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 21,324
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 22,343
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 22,343
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 1,197
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 1,197
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 2,310
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 2,310
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 3,206
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 3,206
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 4,236
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 4,236
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 5,98
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 5,98
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 6,262
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 6,262
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 7,309
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 7,309
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 8,183
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 8,183
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 9,205
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 9,205
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 10,189
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 10,189
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 11,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 11,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 12,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 12,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 13,175
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 13,175
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 14,136
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 14,136
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 15,167
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 15,167
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn 16,220
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn 16,220
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 1,200
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 1,200
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 2,219
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 2,219
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 3,168
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 3,168
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 4,239
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 4,239
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 5,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 5,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland 6,203
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland 6,203
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 1,349
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 1,349
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 2,281
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 2,281
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 3,352
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 3,352
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 4,397
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 4,397
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 6,364
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 6,364
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 7,641
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 7,641
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 8,332
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 8,332
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 9,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 9,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 10,314
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 10,314
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 11,252
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 11,252
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 12,381
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 12,381
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange 13,524
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange 13,524
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-1,271
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-1,271
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-2,268
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-2,268
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-3,241
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-3,241
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-4,344
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-4,344
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-6,197
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-6,197
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-7,101
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-7,101
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-8,314
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-8,314
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 1-9,186
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 1-9,186
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 2-1,290
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 2-1,290
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 2-2,385
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 2-2,385
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 2-3,152
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 2-3,152
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 2-4,131
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 2-4,131
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 2-5,190
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 2-5,190
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 3-1,113
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 3-1,113
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 3-2,103
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 3-2,103
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 3-3,198
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 3-3,198
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-1,283
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-1,283
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-2,374
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-2,374
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-3,296
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-3,296
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-4,182
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-4,182
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-5,358
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-5,358
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-6,360
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-6,360
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-7,297
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-7,297
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-8,242
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-8,242
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-9,238
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-9,238
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-10,142
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-10,142
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-11,123
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-11,123
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-12,548
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-12,548
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-13,279
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-13,279
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-14,212
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-14,212
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-15,335
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-15,335
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 4-16,185
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 4-16,185
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 5-1,133
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 5-1,133
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 5-2,152
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 5-2,152
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 5-3,295
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 5-3,295
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 5-4,216
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 5-4,216
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange 5-5,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange 5-5,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell Mail-In,92
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell Mail-In,92
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Essex Fells Mail-In,20
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Essex Fells Mail-In,20
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston Mail-In,409
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston Mail-In,409
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood Mail-In,360
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood Mail-In,360
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn Mail-In,271
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn Mail-In,271
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland Mail-In,105
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland Mail-In,105
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange Mail-In,272
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange Mail-In,272
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange Mail-In,591
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange Mail-In,591
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell Provisional,11
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell Provisional,11
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Essex Fells Provisional,1
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Essex Fells Provisional,1
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston Provisional,19
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston Provisional,19
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood Provisional,58
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood Provisional,58
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Millburn Provisional,20
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Millburn Provisional,20
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Roseland Provisional,9
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Roseland Provisional,9
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,South Orange Provisional,35
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,South Orange Provisional,35
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,West Orange Provisional,89
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,West Orange Provisional,89
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Total:,32800
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Total:,32800
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 1,143
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 1,143
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 2,62
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 2,62
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 3,75
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 3,75
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 4,113
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 4,113
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 5,154
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 5,154
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 6,114
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Total Votes,Caldwell 6,114
State Senate 27th District (Vote For 1),Rep - Pasquale CAPOZZOLI,Election,Caldwell 7,156
